id,job_role,skills_required,experience_years,level,job_description
415,Java Developer,"Java, Spring Boot, Hibernate, MySQL",3,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
416,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
417,Python Developer,"Python, Django, REST APIs, PostgreSQL",4,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
418,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
419,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",6,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
420,Software Tester,"Selenium, Automation Testing, JIRA",5,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
421,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
422,Web Developer,"React, Node.js, MongoDB, REST APIs",4,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
423,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
424,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
425,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
426,Java Developer,"Java, Spring Boot, Hibernate, MySQL",6,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
427,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
428,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",5,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
429,Java Developer,"Java, Spring Boot, Hibernate, MySQL",3,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
430,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
431,Web Developer,"React, Node.js, MongoDB, REST APIs",5,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
432,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
433,Software Tester,"Selenium, Automation Testing, JIRA",4,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
434,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
435,Java Developer,"Java, Spring Boot, Hibernate, MySQL",3,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
436,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",4,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
437,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
438,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
439,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",5,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
440,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
441,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
442,Web Developer,"React, Node.js, MongoDB, REST APIs",4,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
443,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
444,Software Tester,"Selenium, Automation Testing, JIRA",2,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
445,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
446,Data Analyst,"SQL, Power BI, Data Visualization",6,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
447,Software Tester,"Selenium, Automation Testing, JIRA",3,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
448,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
449,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",4,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
450,Data Analyst,"SQL, Power BI, Data Visualization",4,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
451,Web Developer,"React, Node.js, MongoDB, REST APIs",2,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
452,Java Developer,"Java, Spring Boot, Hibernate, MySQL",4,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
453,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",6,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
454,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
455,Java Developer,"Java, Spring Boot, Hibernate, MySQL",2,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
456,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",2,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
457,Software Tester,"Selenium, Automation Testing, JIRA",3,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
458,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
459,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
460,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
461,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
462,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
463,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
464,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
465,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",3,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
466,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
467,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
468,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
469,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
470,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",2,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
471,Software Tester,"Selenium, Automation Testing, JIRA",5,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
472,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",5,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
473,Software Tester,"Selenium, Automation Testing, JIRA",2,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
474,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",4,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
475,Software Tester,"Selenium, Automation Testing, JIRA",3,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
476,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
477,Web Developer,"React, Node.js, MongoDB, REST APIs",3,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
478,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
479,Data Analyst,"SQL, Power BI, Data Visualization",5,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
480,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",5,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
481,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
482,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
483,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
484,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",3,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
485,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
486,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
487,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",2,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
488,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
489,Software Tester,"Selenium, Automation Testing, JIRA",4,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
490,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",5,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
491,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
492,Software Tester,"Selenium, Automation Testing, JIRA",2,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
493,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
494,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
495,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
496,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
497,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
498,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
499,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
500,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",5,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
501,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
502,Data Analyst,"SQL, Power BI, Data Visualization",4,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
503,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
504,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",3,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
505,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
506,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
507,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
508,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
509,Java Developer,"Java, Spring Boot, Hibernate, MySQL",3,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
510,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
511,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
512,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
513,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
514,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
515,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
516,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
517,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
518,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
519,Data Analyst,"SQL, Power BI, Data Visualization",4,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
520,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
521,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
522,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",5,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
523,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",2,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
524,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
525,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
526,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",6,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
527,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
528,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",3,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
529,Java Developer,"Java, Spring Boot, Hibernate, MySQL",4,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
530,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",4,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
531,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
532,Software Tester,"Selenium, Automation Testing, JIRA",5,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
533,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
534,Python Developer,"Python, Django, REST APIs, PostgreSQL",4,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
535,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
536,Software Tester,"Selenium, Automation Testing, JIRA",3,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
537,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",2,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
538,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",3,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
539,Web Developer,"React, Node.js, MongoDB, REST APIs",5,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
540,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
541,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
542,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
543,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
544,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
545,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",6,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
546,Software Tester,"Selenium, Automation Testing, JIRA",3,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
547,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",4,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
548,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
549,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
550,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
551,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",3,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
552,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
553,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
554,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",3,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
555,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
556,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",4,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
557,Data Analyst,"SQL, Power BI, Data Visualization",5,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
558,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",6,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
559,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",6,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
560,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",3,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
561,Python Developer,"Python, Django, REST APIs, PostgreSQL",4,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
562,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
563,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
564,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
565,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
566,Web Developer,"React, Node.js, MongoDB, REST APIs",5,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
567,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
568,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",3,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
569,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
570,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
571,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
572,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
573,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",2,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
574,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
575,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
576,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",6,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
577,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
578,Web Developer,"React, Node.js, MongoDB, REST APIs",2,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
579,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
580,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",6,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
581,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
582,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
583,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
584,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
585,Java Developer,"Java, Spring Boot, Hibernate, MySQL",2,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
586,Java Developer,"Java, Spring Boot, Hibernate, MySQL",4,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
587,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
588,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
589,Web Developer,"React, Node.js, MongoDB, REST APIs",4,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
590,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
591,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
592,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
593,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
594,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
595,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
596,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",6,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
597,Python Developer,"Python, Django, REST APIs, PostgreSQL",2,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
598,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
599,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
600,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
601,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
602,Software Tester,"Selenium, Automation Testing, JIRA",5,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
603,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
604,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",3,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
605,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
606,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
607,Software Tester,"Selenium, Automation Testing, JIRA",2,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
608,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
609,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
610,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
611,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
612,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
613,Software Tester,"Selenium, Automation Testing, JIRA",6,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
614,Java Developer,"Java, Spring Boot, Hibernate, MySQL",2,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
615,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
616,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
617,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
618,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
619,Web Developer,"React, Node.js, MongoDB, REST APIs",3,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
620,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
621,Web Developer,"React, Node.js, MongoDB, REST APIs",4,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
622,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
